trajectory_id,regime,trajectory_index,gamma,noise_sigma,noise_seed,split
heavy_dissipation_001,heavy_dissipation,1,0.35,0.15,150041,train
heavy_dissipation_002,heavy_dissipation,2,0.35,0.15,150042,train
heavy_dissipation_003,heavy_dissipation,3,0.35,0.15,150043,validation
heavy_dissipation_004,heavy_dissipation,4,0.35,0.15,150044,train
heavy_dissipation_005,heavy_dissipation,5,0.35,0.15,150045,train
heavy_dissipation_006,heavy_dissipation,6,0.35,0.15,150046,train
heavy_dissipation_007,heavy_dissipation,7,0.35,0.15,150047,train
heavy_dissipation_008,heavy_dissipation,8,0.35,0.15,150048,test
heavy_dissipation_009,heavy_dissipation,9,0.35,0.15,150049,train
heavy_dissipation_010,heavy_dissipation,10,0.35,0.15,150050,train
heavy_dissipation_011,heavy_dissipation,11,0.35,0.15,150051,train
heavy_dissipation_012,heavy_dissipation,12,0.35,0.15,150052,train
heavy_dissipation_013,heavy_dissipation,13,0.35,0.15,150053,train
heavy_dissipation_014,heavy_dissipation,14,0.35,0.15,150054,train
heavy_dissipation_015,heavy_dissipation,15,0.35,0.15,150055,test
heavy_dissipation_016,heavy_dissipation,16,0.35,0.15,150056,validation
heavy_dissipation_017,heavy_dissipation,17,0.35,0.15,150057,test
heavy_dissipation_018,heavy_dissipation,18,0.35,0.15,150058,train
heavy_dissipation_019,heavy_dissipation,19,0.35,0.15,150059,validation
collapse_000,collapse,0,0.5,0.65,150060,train
collapse_001,collapse,1,0.5,0.65,150061,train
collapse_002,collapse,2,0.5,0.65,150062,train
collapse_003,collapse,3,0.5,0.65,150063,validation
collapse_004,collapse,4,0.5,0.65,150064,test
collapse_005,collapse,5,0.5,0.65,150065,validation
collapse_006,collapse,6,0.5,0.65,150066,train
collapse_007,collapse,7,0.5,0.65,150067,test
collapse_008,collapse,8,0.5,0.65,150068,train
collapse_009,collapse,9,0.5,0.65,150069,train
collapse_010,collapse,10,0.5,0.65,150070,test
collapse_011,collapse,11,0.5,0.65,150071,train
collapse_012,collapse,12,0.5,0.65,150072,train
collapse_013,collapse,13,0.5,0.65,150073,train
collapse_014,collapse,14,0.5,0.65,150074,train
collapse_015,collapse,15,0.5,0.65,150075,train
collapse_016,collapse,16,0.5,0.65,150076,train
collapse_017,collapse,17,0.5,0.65,150077,train
collapse_018,collapse,18,0.5,0.65,150078,train
collapse_019,collapse,19,0.5,0.65,150079,validation
metastable_000,metastable,0,0.15,0.3,150080,train
metastable_001,metastable,1,0.15,0.3,150081,validation
metastable_002,metastable,2,0.15,0.3,150082,validation
metastable_003,metastable,3,0.15,0.3,150083,train
metastable_004,metastable,4,0.15,0.3,150084,train
metastable_005,metastable,5,0.15,0.3,150085,test
metastable_006,metastable,6,0.15,0.3,150086,train
metastable_007,metastable,7,0.15,0.3,150087,train
metastable_008,metastable,8,0.15,0.3,150088,train
metastable_009,metastable,9,0.15,0.3,150089,train
metastable_010,metastable,10,0.15,0.3,150090,train
metastable_011,metastable,11,0.15,0.3,150091,validation
metastable_012,metastable,12,0.15,0.3,150092,train
metastable_013,metastable,13,0.15,0.3,150093,train
metastable_014,metastable,14,0.15,0.3,150094,test
metastable_015,metastable,15,0.15,0.3,150095,train
metastable_016,metastable,16,0.15,0.3,150096,train
metastable_017,metastable,17,0.15,0.3,150097,test
metastable_018,metastable,18,0.15,0.3,150098,train
metastable_019,metastable,19,0.15,0.3,150099,train
