dataset_index,trajectory_id,regime,trajectory_index,timestep,noise_seed,gamma,noise_sigma,reference_gamma,spatial_points,information_dimension,split
172,low_noise_001,low_noise,1,73,150001,0.01,0.02,0.0,128,6,test
173,low_noise_001,low_noise,1,74,150001,0.01,0.02,0.0,128,6,test
174,low_noise_001,low_noise,1,75,150001,0.01,0.02,0.0,128,6,test
175,low_noise_001,low_noise,1,76,150001,0.01,0.02,0.0,128,6,test
176,low_noise_001,low_noise,1,77,150001,0.01,0.02,0.0,128,6,test
177,low_noise_001,low_noise,1,78,150001,0.01,0.02,0.0,128,6,test
178,low_noise_001,low_noise,1,79,150001,0.01,0.02,0.0,128,6,test
179,low_noise_001,low_noise,1,80,150001,0.01,0.02,0.0,128,6,test
180,low_noise_001,low_noise,1,81,150001,0.01,0.02,0.0,128,6,test
181,low_noise_001,low_noise,1,82,150001,0.01,0.02,0.0,128,6,test
182,low_noise_001,low_noise,1,83,150001,0.01,0.02,0.0,128,6,test
183,low_noise_001,low_noise,1,84,150001,0.01,0.02,0.0,128,6,test
184,low_noise_001,low_noise,1,85,150001,0.01,0.02,0.0,128,6,test
185,low_noise_001,low_noise,1,86,150001,0.01,0.02,0.0,128,6,test
186,low_noise_001,low_noise,1,87,150001,0.01,0.02,0.0,128,6,test
187,low_noise_001,low_noise,1,88,150001,0.01,0.02,0.0,128,6,test
188,low_noise_001,low_noise,1,89,150001,0.01,0.02,0.0,128,6,test
189,low_noise_001,low_noise,1,90,150001,0.01,0.02,0.0,128,6,test
190,low_noise_001,low_noise,1,91,150001,0.01,0.02,0.0,128,6,test
191,low_noise_001,low_noise,1,92,150001,0.01,0.02,0.0,128,6,test
192,low_noise_001,low_noise,1,93,150001,0.01,0.02,0.0,128,6,test
193,low_noise_001,low_noise,1,94,150001,0.01,0.02,0.0,128,6,test
194,low_noise_001,low_noise,1,95,150001,0.01,0.02,0.0,128,6,test
195,low_noise_001,low_noise,1,96,150001,0.01,0.02,0.0,128,6,test
196,low_noise_001,low_noise,1,97,150001,0.01,0.02,0.0,128,6,test
197,low_noise_001,low_noise,1,98,150001,0.01,0.02,0.0,128,6,test
198,low_noise_002,low_noise,2,0,150002,0.01,0.02,0.0,128,6,train
199,low_noise_002,low_noise,2,1,150002,0.01,0.02,0.0,128,6,train
200,low_noise_002,low_noise,2,2,150002,0.01,0.02,0.0,128,6,train
201,low_noise_002,low_noise,2,3,150002,0.01,0.02,0.0,128,6,train
202,low_noise_002,low_noise,2,4,150002,0.01,0.02,0.0,128,6,train
203,low_noise_002,low_noise,2,5,150002,0.01,0.02,0.0,128,6,train
204,low_noise_002,low_noise,2,6,150002,0.01,0.02,0.0,128,6,train
205,low_noise_002,low_noise,2,7,150002,0.01,0.02,0.0,128,6,train
206,low_noise_002,low_noise,2,8,150002,0.01,0.02,0.0,128,6,train
207,low_noise_002,low_noise,2,9,150002,0.01,0.02,0.0,128,6,train
208,low_noise_002,low_noise,2,10,150002,0.01,0.02,0.0,128,6,train
209,low_noise_002,low_noise,2,11,150002,0.01,0.02,0.0,128,6,train
210,low_noise_002,low_noise,2,12,150002,0.01,0.02,0.0,128,6,train
211,low_noise_002,low_noise,2,13,150002,0.01,0.02,0.0,128,6,train
212,low_noise_002,low_noise,2,14,150002,0.01,0.02,0.0,128,6,train
213,low_noise_002,low_noise,2,15,150002,0.01,0.02,0.0,128,6,train
214,low_noise_002,low_noise,2,16,150002,0.01,0.02,0.0,128,6,train
215,low_noise_002,low_noise,2,17,150002,0.01,0.02,0.0,128,6,train
216,low_noise_002,low_noise,2,18,150002,0.01,0.02,0.0,128,6,train
217,low_noise_002,low_noise,2,19,150002,0.01,0.02,0.0,128,6,train
218,low_noise_002,low_noise,2,20,150002,0.01,0.02,0.0,128,6,train
219,low_noise_002,low_noise,2,21,150002,0.01,0.02,0.0,128,6,train
220,low_noise_002,low_noise,2,22,150002,0.01,0.02,0.0,128,6,train
221,low_noise_002,low_noise,2,23,150002,0.01,0.02,0.0,128,6,train
222,low_noise_002,low_noise,2,24,150002,0.01,0.02,0.0,128,6,train
223,low_noise_002,low_noise,2,25,150002,0.01,0.02,0.0,128,6,train
224,low_noise_002,low_noise,2,26,150002,0.01,0.02,0.0,128,6,train
225,low_noise_002,low_noise,2,27,150002,0.01,0.02,0.0,128,6,train
226,low_noise_002,low_noise,2,28,150002,0.01,0.02,0.0,128,6,train
227,low_noise_002,low_noise,2,29,150002,0.01,0.02,0.0,128,6,train
228,low_noise_002,low_noise,2,30,150002,0.01,0.02,0.0,128,6,train
229,low_noise_002,low_noise,2,31,150002,0.01,0.02,0.0,128,6,train
230,low_noise_002,low_noise,2,32,150002,0.01,0.02,0.0,128,6,train
231,low_noise_002,low_noise,2,33,150002,0.01,0.02,0.0,128,6,train
232,low_noise_002,low_noise,2,34,150002,0.01,0.02,0.0,128,6,train
233,low_noise_002,low_noise,2,35,150002,0.01,0.02,0.0,128,6,train
234,low_noise_002,low_noise,2,36,150002,0.01,0.02,0.0,128,6,train
235,low_noise_002,low_noise,2,37,150002,0.01,0.02,0.0,128,6,train
236,low_noise_002,low_noise,2,38,150002,0.01,0.02,0.0,128,6,train
237,low_noise_002,low_noise,2,39,150002,0.01,0.02,0.0,128,6,train
238,low_noise_002,low_noise,2,40,150002,0.01,0.02,0.0,128,6,train
239,low_noise_002,low_noise,2,41,150002,0.01,0.02,0.0,128,6,train
240,low_noise_002,low_noise,2,42,150002,0.01,0.02,0.0,128,6,train
241,low_noise_002,low_noise,2,43,150002,0.01,0.02,0.0,128,6,train
242,low_noise_002,low_noise,2,44,150002,0.01,0.02,0.0,128,6,train
243,low_noise_002,low_noise,2,45,150002,0.01,0.02,0.0,128,6,train
244,low_noise_002,low_noise,2,46,150002,0.01,0.02,0.0,128,6,train
245,low_noise_002,low_noise,2,47,150002,0.01,0.02,0.0,128,6,train
246,low_noise_002,low_noise,2,48,150002,0.01,0.02,0.0,128,6,train
247,low_noise_002,low_noise,2,49,150002,0.01,0.02,0.0,128,6,train
248,low_noise_002,low_noise,2,50,150002,0.01,0.02,0.0,128,6,train
249,low_noise_002,low_noise,2,51,150002,0.01,0.02,0.0,128,6,train
250,low_noise_002,low_noise,2,52,150002,0.01,0.02,0.0,128,6,train
251,low_noise_002,low_noise,2,53,150002,0.01,0.02,0.0,128,6,train
252,low_noise_002,low_noise,2,54,150002,0.01,0.02,0.0,128,6,train
253,low_noise_002,low_noise,2,55,150002,0.01,0.02,0.0,128,6,train
254,low_noise_002,low_noise,2,56,150002,0.01,0.02,0.0,128,6,train
255,low_noise_002,low_noise,2,57,150002,0.01,0.02,0.0,128,6,train
256,low_noise_002,low_noise,2,58,150002,0.01,0.02,0.0,128,6,train
257,low_noise_002,low_noise,2,59,150002,0.01,0.02,0.0,128,6,train
258,low_noise_002,low_noise,2,60,150002,0.01,0.02,0.0,128,6,train
259,low_noise_002,low_noise,2,61,150002,0.01,0.02,0.0,128,6,train
260,low_noise_002,low_noise,2,62,150002,0.01,0.02,0.0,128,6,train
261,low_noise_002,low_noise,2,63,150002,0.01,0.02,0.0,128,6,train
262,low_noise_002,low_noise,2,64,150002,0.01,0.02,0.0,128,6,train
263,low_noise_002,low_noise,2,65,150002,0.01,0.02,0.0,128,6,train
264,low_noise_002,low_noise,2,66,150002,0.01,0.02,0.0,128,6,train
265,low_noise_002,low_noise,2,67,150002,0.01,0.02,0.0,128,6,train
266,low_noise_002,low_noise,2,68,150002,0.01,0.02,0.0,128,6,train
267,low_noise_002,low_noise,2,69,150002,0.01,0.02,0.0,128,6,train
268,low_noise_002,low_noise,2,70,150002,0.01,0.02,0.0,128,6,train
269,low_noise_002,low_noise,2,71,150002,0.01,0.02,0.0,128,6,train
270,low_noise_002,low_noise,2,72,150002,0.01,0.02,0.0,128,6,train
271,low_noise_002,low_noise,2,73,150002,0.01,0.02,0.0,128,6,train
272,low_noise_002,low_noise,2,74,150002,0.01,0.02,0.0,128,6,train
273,low_noise_002,low_noise,2,75,150002,0.01,0.02,0.0,128,6,train
274,low_noise_002,low_noise,2,76,150002,0.01,0.02,0.0,128,6,train
275,low_noise_002,low_noise,2,77,150002,0.01,0.02,0.0,128,6,train
276,low_noise_002,low_noise,2,78,150002,0.01,0.02,0.0,128,6,train
277,low_noise_002,low_noise,2,79,150002,0.01,0.02,0.0,128,6,train
278,low_noise_002,low_noise,2,80,150002,0.01,0.02,0.0,128,6,train
279,low_noise_002,low_noise,2,81,150002,0.01,0.02,0.0,128,6,train
280,low_noise_002,low_noise,2,82,150002,0.01,0.02,0.0,128,6,train
281,low_noise_002,low_noise,2,83,150002,0.01,0.02,0.0,128,6,train
282,low_noise_002,low_noise,2,84,150002,0.01,0.02,0.0,128,6,train
283,low_noise_002,low_noise,2,85,150002,0.01,0.02,0.0,128,6,train
284,low_noise_002,low_noise,2,86,150002,0.01,0.02,0.0,128,6,train
285,low_noise_002,low_noise,2,87,150002,0.01,0.02,0.0,128,6,train
286,low_noise_002,low_noise,2,88,150002,0.01,0.02,0.0,128,6,train
287,low_noise_002,low_noise,2,89,150002,0.01,0.02,0.0,128,6,train
288,low_noise_002,low_noise,2,90,150002,0.01,0.02,0.0,128,6,train
289,low_noise_002,low_noise,2,91,150002,0.01,0.02,0.0,128,6,train
290,low_noise_002,low_noise,2,92,150002,0.01,0.02,0.0,128,6,train
291,low_noise_002,low_noise,2,93,150002,0.01,0.02,0.0,128,6,train
292,low_noise_002,low_noise,2,94,150002,0.01,0.02,0.0,128,6,train
293,low_noise_002,low_noise,2,95,150002,0.01,0.02,0.0,128,6,train
294,low_noise_002,low_noise,2,96,150002,0.01,0.02,0.0,128,6,train
295,low_noise_002,low_noise,2,97,150002,0.01,0.02,0.0,128,6,train
296,low_noise_002,low_noise,2,98,150002,0.01,0.02,0.0,128,6,train
297,low_noise_003,low_noise,3,0,150003,0.01,0.02,0.0,128,6,train
298,low_noise_003,low_noise,3,1,150003,0.01,0.02,0.0,128,6,train
299,low_noise_003,low_noise,3,2,150003,0.01,0.02,0.0,128,6,train
300,low_noise_003,low_noise,3,3,150003,0.01,0.02,0.0,128,6,train
301,low_noise_003,low_noise,3,4,150003,0.01,0.02,0.0,128,6,train
302,low_noise_003,low_noise,3,5,150003,0.01,0.02,0.0,128,6,train
303,low_noise_003,low_noise,3,6,150003,0.01,0.02,0.0,128,6,train
304,low_noise_003,low_noise,3,7,150003,0.01,0.02,0.0,128,6,train
305,low_noise_003,low_noise,3,8,150003,0.01,0.02,0.0,128,6,train
306,low_noise_003,low_noise,3,9,150003,0.01,0.02,0.0,128,6,train
307,low_noise_003,low_noise,3,10,150003,0.01,0.02,0.0,128,6,train
308,low_noise_003,low_noise,3,11,150003,0.01,0.02,0.0,128,6,train
309,low_noise_003,low_noise,3,12,150003,0.01,0.02,0.0,128,6,train
310,low_noise_003,low_noise,3,13,150003,0.01,0.02,0.0,128,6,train
311,low_noise_003,low_noise,3,14,150003,0.01,0.02,0.0,128,6,train
312,low_noise_003,low_noise,3,15,150003,0.01,0.02,0.0,128,6,train
313,low_noise_003,low_noise,3,16,150003,0.01,0.02,0.0,128,6,train
314,low_noise_003,low_noise,3,17,150003,0.01,0.02,0.0,128,6,train
315,low_noise_003,low_noise,3,18,150003,0.01,0.02,0.0,128,6,train
316,low_noise_003,low_noise,3,19,150003,0.01,0.02,0.0,128,6,train
317,low_noise_003,low_noise,3,20,150003,0.01,0.02,0.0,128,6,train
318,low_noise_003,low_noise,3,21,150003,0.01,0.02,0.0,128,6,train
319,low_noise_003,low_noise,3,22,150003,0.01,0.02,0.0,128,6,train
320,low_noise_003,low_noise,3,23,150003,0.01,0.02,0.0,128,6,train
321,low_noise_003,low_noise,3,24,150003,0.01,0.02,0.0,128,6,train
322,low_noise_003,low_noise,3,25,150003,0.01,0.02,0.0,128,6,train
323,low_noise_003,low_noise,3,26,150003,0.01,0.02,0.0,128,6,train
324,low_noise_003,low_noise,3,27,150003,0.01,0.02,0.0,128,6,train
325,low_noise_003,low_noise,3,28,150003,0.01,0.02,0.0,128,6,train
326,low_noise_003,low_noise,3,29,150003,0.01,0.02,0.0,128,6,train
327,low_noise_003,low_noise,3,30,150003,0.01,0.02,0.0,128,6,train
328,low_noise_003,low_noise,3,31,150003,0.01,0.02,0.0,128,6,train
329,low_noise_003,low_noise,3,32,150003,0.01,0.02,0.0,128,6,train
330,low_noise_003,low_noise,3,33,150003,0.01,0.02,0.0,128,6,train
331,low_noise_003,low_noise,3,34,150003,0.01,0.02,0.0,128,6,train
332,low_noise_003,low_noise,3,35,150003,0.01,0.02,0.0,128,6,train
333,low_noise_003,low_noise,3,36,150003,0.01,0.02,0.0,128,6,train
334,low_noise_003,low_noise,3,37,150003,0.01,0.02,0.0,128,6,train
335,low_noise_003,low_noise,3,38,150003,0.01,0.02,0.0,128,6,train
336,low_noise_003,low_noise,3,39,150003,0.01,0.02,0.0,128,6,train
337,low_noise_003,low_noise,3,40,150003,0.01,0.02,0.0,128,6,train
338,low_noise_003,low_noise,3,41,150003,0.01,0.02,0.0,128,6,train
339,low_noise_003,low_noise,3,42,150003,0.01,0.02,0.0,128,6,train
340,low_noise_003,low_noise,3,43,150003,0.01,0.02,0.0,128,6,train
341,low_noise_003,low_noise,3,44,150003,0.01,0.02,0.0,128,6,train
342,low_noise_003,low_noise,3,45,150003,0.01,0.02,0.0,128,6,train
343,low_noise_003,low_noise,3,46,150003,0.01,0.02,0.0,128,6,train
344,low_noise_003,low_noise,3,47,150003,0.01,0.02,0.0,128,6,train
345,low_noise_003,low_noise,3,48,150003,0.01,0.02,0.0,128,6,train
346,low_noise_003,low_noise,3,49,150003,0.01,0.02,0.0,128,6,train
347,low_noise_003,low_noise,3,50,150003,0.01,0.02,0.0,128,6,train
348,low_noise_003,low_noise,3,51,150003,0.01,0.02,0.0,128,6,train
349,low_noise_003,low_noise,3,52,150003,0.01,0.02,0.0,128,6,train
350,low_noise_003,low_noise,3,53,150003,0.01,0.02,0.0,128,6,train
351,low_noise_003,low_noise,3,54,150003,0.01,0.02,0.0,128,6,train
352,low_noise_003,low_noise,3,55,150003,0.01,0.02,0.0,128,6,train
353,low_noise_003,low_noise,3,56,150003,0.01,0.02,0.0,128,6,train
354,low_noise_003,low_noise,3,57,150003,0.01,0.02,0.0,128,6,train
