dataset_index,trajectory_id,regime,trajectory_index,timestep,noise_seed,gamma,noise_sigma,reference_gamma,spatial_points,information_dimension
177,low_noise_001,low_noise,1,78,150001,0.01,0.02,0.0,128,6
178,low_noise_001,low_noise,1,79,150001,0.01,0.02,0.0,128,6
179,low_noise_001,low_noise,1,80,150001,0.01,0.02,0.0,128,6
180,low_noise_001,low_noise,1,81,150001,0.01,0.02,0.0,128,6
181,low_noise_001,low_noise,1,82,150001,0.01,0.02,0.0,128,6
182,low_noise_001,low_noise,1,83,150001,0.01,0.02,0.0,128,6
183,low_noise_001,low_noise,1,84,150001,0.01,0.02,0.0,128,6
184,low_noise_001,low_noise,1,85,150001,0.01,0.02,0.0,128,6
185,low_noise_001,low_noise,1,86,150001,0.01,0.02,0.0,128,6
186,low_noise_001,low_noise,1,87,150001,0.01,0.02,0.0,128,6
187,low_noise_001,low_noise,1,88,150001,0.01,0.02,0.0,128,6
188,low_noise_001,low_noise,1,89,150001,0.01,0.02,0.0,128,6
189,low_noise_001,low_noise,1,90,150001,0.01,0.02,0.0,128,6
190,low_noise_001,low_noise,1,91,150001,0.01,0.02,0.0,128,6
191,low_noise_001,low_noise,1,92,150001,0.01,0.02,0.0,128,6
192,low_noise_001,low_noise,1,93,150001,0.01,0.02,0.0,128,6
193,low_noise_001,low_noise,1,94,150001,0.01,0.02,0.0,128,6
194,low_noise_001,low_noise,1,95,150001,0.01,0.02,0.0,128,6
195,low_noise_001,low_noise,1,96,150001,0.01,0.02,0.0,128,6
196,low_noise_001,low_noise,1,97,150001,0.01,0.02,0.0,128,6
197,low_noise_001,low_noise,1,98,150001,0.01,0.02,0.0,128,6
198,low_noise_002,low_noise,2,0,150002,0.01,0.02,0.0,128,6
199,low_noise_002,low_noise,2,1,150002,0.01,0.02,0.0,128,6
200,low_noise_002,low_noise,2,2,150002,0.01,0.02,0.0,128,6
201,low_noise_002,low_noise,2,3,150002,0.01,0.02,0.0,128,6
202,low_noise_002,low_noise,2,4,150002,0.01,0.02,0.0,128,6
203,low_noise_002,low_noise,2,5,150002,0.01,0.02,0.0,128,6
204,low_noise_002,low_noise,2,6,150002,0.01,0.02,0.0,128,6
205,low_noise_002,low_noise,2,7,150002,0.01,0.02,0.0,128,6
206,low_noise_002,low_noise,2,8,150002,0.01,0.02,0.0,128,6
207,low_noise_002,low_noise,2,9,150002,0.01,0.02,0.0,128,6
208,low_noise_002,low_noise,2,10,150002,0.01,0.02,0.0,128,6
209,low_noise_002,low_noise,2,11,150002,0.01,0.02,0.0,128,6
210,low_noise_002,low_noise,2,12,150002,0.01,0.02,0.0,128,6
211,low_noise_002,low_noise,2,13,150002,0.01,0.02,0.0,128,6
212,low_noise_002,low_noise,2,14,150002,0.01,0.02,0.0,128,6
213,low_noise_002,low_noise,2,15,150002,0.01,0.02,0.0,128,6
214,low_noise_002,low_noise,2,16,150002,0.01,0.02,0.0,128,6
215,low_noise_002,low_noise,2,17,150002,0.01,0.02,0.0,128,6
216,low_noise_002,low_noise,2,18,150002,0.01,0.02,0.0,128,6
217,low_noise_002,low_noise,2,19,150002,0.01,0.02,0.0,128,6
218,low_noise_002,low_noise,2,20,150002,0.01,0.02,0.0,128,6
219,low_noise_002,low_noise,2,21,150002,0.01,0.02,0.0,128,6
220,low_noise_002,low_noise,2,22,150002,0.01,0.02,0.0,128,6
221,low_noise_002,low_noise,2,23,150002,0.01,0.02,0.0,128,6
222,low_noise_002,low_noise,2,24,150002,0.01,0.02,0.0,128,6
223,low_noise_002,low_noise,2,25,150002,0.01,0.02,0.0,128,6
224,low_noise_002,low_noise,2,26,150002,0.01,0.02,0.0,128,6
225,low_noise_002,low_noise,2,27,150002,0.01,0.02,0.0,128,6
226,low_noise_002,low_noise,2,28,150002,0.01,0.02,0.0,128,6
227,low_noise_002,low_noise,2,29,150002,0.01,0.02,0.0,128,6
228,low_noise_002,low_noise,2,30,150002,0.01,0.02,0.0,128,6
229,low_noise_002,low_noise,2,31,150002,0.01,0.02,0.0,128,6
230,low_noise_002,low_noise,2,32,150002,0.01,0.02,0.0,128,6
231,low_noise_002,low_noise,2,33,150002,0.01,0.02,0.0,128,6
232,low_noise_002,low_noise,2,34,150002,0.01,0.02,0.0,128,6
233,low_noise_002,low_noise,2,35,150002,0.01,0.02,0.0,128,6
234,low_noise_002,low_noise,2,36,150002,0.01,0.02,0.0,128,6
235,low_noise_002,low_noise,2,37,150002,0.01,0.02,0.0,128,6
236,low_noise_002,low_noise,2,38,150002,0.01,0.02,0.0,128,6
237,low_noise_002,low_noise,2,39,150002,0.01,0.02,0.0,128,6
238,low_noise_002,low_noise,2,40,150002,0.01,0.02,0.0,128,6
239,low_noise_002,low_noise,2,41,150002,0.01,0.02,0.0,128,6
240,low_noise_002,low_noise,2,42,150002,0.01,0.02,0.0,128,6
241,low_noise_002,low_noise,2,43,150002,0.01,0.02,0.0,128,6
242,low_noise_002,low_noise,2,44,150002,0.01,0.02,0.0,128,6
243,low_noise_002,low_noise,2,45,150002,0.01,0.02,0.0,128,6
244,low_noise_002,low_noise,2,46,150002,0.01,0.02,0.0,128,6
245,low_noise_002,low_noise,2,47,150002,0.01,0.02,0.0,128,6
246,low_noise_002,low_noise,2,48,150002,0.01,0.02,0.0,128,6
247,low_noise_002,low_noise,2,49,150002,0.01,0.02,0.0,128,6
248,low_noise_002,low_noise,2,50,150002,0.01,0.02,0.0,128,6
249,low_noise_002,low_noise,2,51,150002,0.01,0.02,0.0,128,6
250,low_noise_002,low_noise,2,52,150002,0.01,0.02,0.0,128,6
251,low_noise_002,low_noise,2,53,150002,0.01,0.02,0.0,128,6
252,low_noise_002,low_noise,2,54,150002,0.01,0.02,0.0,128,6
253,low_noise_002,low_noise,2,55,150002,0.01,0.02,0.0,128,6
254,low_noise_002,low_noise,2,56,150002,0.01,0.02,0.0,128,6
255,low_noise_002,low_noise,2,57,150002,0.01,0.02,0.0,128,6
256,low_noise_002,low_noise,2,58,150002,0.01,0.02,0.0,128,6
257,low_noise_002,low_noise,2,59,150002,0.01,0.02,0.0,128,6
258,low_noise_002,low_noise,2,60,150002,0.01,0.02,0.0,128,6
259,low_noise_002,low_noise,2,61,150002,0.01,0.02,0.0,128,6
260,low_noise_002,low_noise,2,62,150002,0.01,0.02,0.0,128,6
261,low_noise_002,low_noise,2,63,150002,0.01,0.02,0.0,128,6
262,low_noise_002,low_noise,2,64,150002,0.01,0.02,0.0,128,6
263,low_noise_002,low_noise,2,65,150002,0.01,0.02,0.0,128,6
264,low_noise_002,low_noise,2,66,150002,0.01,0.02,0.0,128,6
265,low_noise_002,low_noise,2,67,150002,0.01,0.02,0.0,128,6
266,low_noise_002,low_noise,2,68,150002,0.01,0.02,0.0,128,6
267,low_noise_002,low_noise,2,69,150002,0.01,0.02,0.0,128,6
268,low_noise_002,low_noise,2,70,150002,0.01,0.02,0.0,128,6
269,low_noise_002,low_noise,2,71,150002,0.01,0.02,0.0,128,6
270,low_noise_002,low_noise,2,72,150002,0.01,0.02,0.0,128,6
271,low_noise_002,low_noise,2,73,150002,0.01,0.02,0.0,128,6
272,low_noise_002,low_noise,2,74,150002,0.01,0.02,0.0,128,6
273,low_noise_002,low_noise,2,75,150002,0.01,0.02,0.0,128,6
274,low_noise_002,low_noise,2,76,150002,0.01,0.02,0.0,128,6
275,low_noise_002,low_noise,2,77,150002,0.01,0.02,0.0,128,6
276,low_noise_002,low_noise,2,78,150002,0.01,0.02,0.0,128,6
277,low_noise_002,low_noise,2,79,150002,0.01,0.02,0.0,128,6
278,low_noise_002,low_noise,2,80,150002,0.01,0.02,0.0,128,6
279,low_noise_002,low_noise,2,81,150002,0.01,0.02,0.0,128,6
280,low_noise_002,low_noise,2,82,150002,0.01,0.02,0.0,128,6
281,low_noise_002,low_noise,2,83,150002,0.01,0.02,0.0,128,6
282,low_noise_002,low_noise,2,84,150002,0.01,0.02,0.0,128,6
283,low_noise_002,low_noise,2,85,150002,0.01,0.02,0.0,128,6
284,low_noise_002,low_noise,2,86,150002,0.01,0.02,0.0,128,6
285,low_noise_002,low_noise,2,87,150002,0.01,0.02,0.0,128,6
286,low_noise_002,low_noise,2,88,150002,0.01,0.02,0.0,128,6
287,low_noise_002,low_noise,2,89,150002,0.01,0.02,0.0,128,6
288,low_noise_002,low_noise,2,90,150002,0.01,0.02,0.0,128,6
289,low_noise_002,low_noise,2,91,150002,0.01,0.02,0.0,128,6
290,low_noise_002,low_noise,2,92,150002,0.01,0.02,0.0,128,6
291,low_noise_002,low_noise,2,93,150002,0.01,0.02,0.0,128,6
292,low_noise_002,low_noise,2,94,150002,0.01,0.02,0.0,128,6
293,low_noise_002,low_noise,2,95,150002,0.01,0.02,0.0,128,6
294,low_noise_002,low_noise,2,96,150002,0.01,0.02,0.0,128,6
295,low_noise_002,low_noise,2,97,150002,0.01,0.02,0.0,128,6
296,low_noise_002,low_noise,2,98,150002,0.01,0.02,0.0,128,6
297,low_noise_003,low_noise,3,0,150003,0.01,0.02,0.0,128,6
298,low_noise_003,low_noise,3,1,150003,0.01,0.02,0.0,128,6
299,low_noise_003,low_noise,3,2,150003,0.01,0.02,0.0,128,6
300,low_noise_003,low_noise,3,3,150003,0.01,0.02,0.0,128,6
301,low_noise_003,low_noise,3,4,150003,0.01,0.02,0.0,128,6
302,low_noise_003,low_noise,3,5,150003,0.01,0.02,0.0,128,6
303,low_noise_003,low_noise,3,6,150003,0.01,0.02,0.0,128,6
304,low_noise_003,low_noise,3,7,150003,0.01,0.02,0.0,128,6
305,low_noise_003,low_noise,3,8,150003,0.01,0.02,0.0,128,6
306,low_noise_003,low_noise,3,9,150003,0.01,0.02,0.0,128,6
307,low_noise_003,low_noise,3,10,150003,0.01,0.02,0.0,128,6
308,low_noise_003,low_noise,3,11,150003,0.01,0.02,0.0,128,6
309,low_noise_003,low_noise,3,12,150003,0.01,0.02,0.0,128,6
310,low_noise_003,low_noise,3,13,150003,0.01,0.02,0.0,128,6
311,low_noise_003,low_noise,3,14,150003,0.01,0.02,0.0,128,6
312,low_noise_003,low_noise,3,15,150003,0.01,0.02,0.0,128,6
313,low_noise_003,low_noise,3,16,150003,0.01,0.02,0.0,128,6
314,low_noise_003,low_noise,3,17,150003,0.01,0.02,0.0,128,6
315,low_noise_003,low_noise,3,18,150003,0.01,0.02,0.0,128,6
316,low_noise_003,low_noise,3,19,150003,0.01,0.02,0.0,128,6
317,low_noise_003,low_noise,3,20,150003,0.01,0.02,0.0,128,6
318,low_noise_003,low_noise,3,21,150003,0.01,0.02,0.0,128,6
319,low_noise_003,low_noise,3,22,150003,0.01,0.02,0.0,128,6
320,low_noise_003,low_noise,3,23,150003,0.01,0.02,0.0,128,6
321,low_noise_003,low_noise,3,24,150003,0.01,0.02,0.0,128,6
322,low_noise_003,low_noise,3,25,150003,0.01,0.02,0.0,128,6
323,low_noise_003,low_noise,3,26,150003,0.01,0.02,0.0,128,6
324,low_noise_003,low_noise,3,27,150003,0.01,0.02,0.0,128,6
325,low_noise_003,low_noise,3,28,150003,0.01,0.02,0.0,128,6
326,low_noise_003,low_noise,3,29,150003,0.01,0.02,0.0,128,6
327,low_noise_003,low_noise,3,30,150003,0.01,0.02,0.0,128,6
328,low_noise_003,low_noise,3,31,150003,0.01,0.02,0.0,128,6
329,low_noise_003,low_noise,3,32,150003,0.01,0.02,0.0,128,6
330,low_noise_003,low_noise,3,33,150003,0.01,0.02,0.0,128,6
331,low_noise_003,low_noise,3,34,150003,0.01,0.02,0.0,128,6
332,low_noise_003,low_noise,3,35,150003,0.01,0.02,0.0,128,6
333,low_noise_003,low_noise,3,36,150003,0.01,0.02,0.0,128,6
334,low_noise_003,low_noise,3,37,150003,0.01,0.02,0.0,128,6
335,low_noise_003,low_noise,3,38,150003,0.01,0.02,0.0,128,6
336,low_noise_003,low_noise,3,39,150003,0.01,0.02,0.0,128,6
337,low_noise_003,low_noise,3,40,150003,0.01,0.02,0.0,128,6
338,low_noise_003,low_noise,3,41,150003,0.01,0.02,0.0,128,6
339,low_noise_003,low_noise,3,42,150003,0.01,0.02,0.0,128,6
340,low_noise_003,low_noise,3,43,150003,0.01,0.02,0.0,128,6
341,low_noise_003,low_noise,3,44,150003,0.01,0.02,0.0,128,6
342,low_noise_003,low_noise,3,45,150003,0.01,0.02,0.0,128,6
343,low_noise_003,low_noise,3,46,150003,0.01,0.02,0.0,128,6
344,low_noise_003,low_noise,3,47,150003,0.01,0.02,0.0,128,6
345,low_noise_003,low_noise,3,48,150003,0.01,0.02,0.0,128,6
346,low_noise_003,low_noise,3,49,150003,0.01,0.02,0.0,128,6
347,low_noise_003,low_noise,3,50,150003,0.01,0.02,0.0,128,6
348,low_noise_003,low_noise,3,51,150003,0.01,0.02,0.0,128,6
349,low_noise_003,low_noise,3,52,150003,0.01,0.02,0.0,128,6
350,low_noise_003,low_noise,3,53,150003,0.01,0.02,0.0,128,6
351,low_noise_003,low_noise,3,54,150003,0.01,0.02,0.0,128,6
352,low_noise_003,low_noise,3,55,150003,0.01,0.02,0.0,128,6
353,low_noise_003,low_noise,3,56,150003,0.01,0.02,0.0,128,6
354,low_noise_003,low_noise,3,57,150003,0.01,0.02,0.0,128,6
355,low_noise_003,low_noise,3,58,150003,0.01,0.02,0.0,128,6
356,low_noise_003,low_noise,3,59,150003,0.01,0.02,0.0,128,6
357,low_noise_003,low_noise,3,60,150003,0.01,0.02,0.0,128,6
358,low_noise_003,low_noise,3,61,150003,0.01,0.02,0.0,128,6
359,low_noise_003,low_noise,3,62,150003,0.01,0.02,0.0,128,6
360,low_noise_003,low_noise,3,63,150003,0.01,0.02,0.0,128,6
361,low_noise_003,low_noise,3,64,150003,0.01,0.02,0.0,128,6
362,low_noise_003,low_noise,3,65,150003,0.01,0.02,0.0,128,6
363,low_noise_003,low_noise,3,66,150003,0.01,0.02,0.0,128,6
364,low_noise_003,low_noise,3,67,150003,0.01,0.02,0.0,128,6
365,low_noise_003,low_noise,3,68,150003,0.01,0.02,0.0,128,6
366,low_noise_003,low_noise,3,69,150003,0.01,0.02,0.0,128,6
367,low_noise_003,low_noise,3,70,150003,0.01,0.02,0.0,128,6
368,low_noise_003,low_noise,3,71,150003,0.01,0.02,0.0,128,6
369,low_noise_003,low_noise,3,72,150003,0.01,0.02,0.0,128,6
370,low_noise_003,low_noise,3,73,150003,0.01,0.02,0.0,128,6
371,low_noise_003,low_noise,3,74,150003,0.01,0.02,0.0,128,6
372,low_noise_003,low_noise,3,75,150003,0.01,0.02,0.0,128,6
373,low_noise_003,low_noise,3,76,150003,0.01,0.02,0.0,128,6
