step,step_heading,step_cell_number,original_cell_index,filename
STEP_01,# STEP 1 — INTERNAL INFORMATION STATE DEFINITION,14,26,STEP_01/STEP_01_cell_014_original_026.py
STEP_02,# STEP 2 — SIMULATOR → TRAJECTORY / OBSERVABLE AUDIT,1,27,STEP_02/STEP_02_cell_001_original_027.py
STEP_02,# STEP 2 — SIMULATOR → TRAJECTORY / OBSERVABLE AUDIT,2,28,STEP_02/STEP_02_cell_002_original_028.py
STEP_03,# STEP 3 — EXACT PAIRED OPEN/REFERENCE TRAJECTORY SETUP,1,29,STEP_03/STEP_03_cell_001_original_029.py
STEP_03,# STEP 3 — ACTUAL PAIRED OPEN / REFERENCE TRAJECTORIES,2,30,STEP_03/STEP_03_cell_002_original_030.py
STEP_04,# STEP 4 — ENVIRONMENT-CONDITIONED DATASET V2,1,31,STEP_04/STEP_04_cell_001_original_031.py
STEP_04,# STEP 4 — ENVIRONMENT-CONDITIONED DATASET V2,2,32,STEP_04/STEP_04_cell_002_original_032.py
STEP_05,# STEP 5 — PROPER LNO PHYSICAL REPRESENTATION,1,33,STEP_05/STEP_05_cell_001_original_033.py
STEP_05,# STEP 5 — PROPER LNO PHYSICAL REPRESENTATION,2,34,STEP_05/STEP_05_cell_002_original_034.py
STEP_06,"""[+] Ready for STEP 6:""",1,35,STEP_06/STEP_06_cell_001_original_035.py
STEP_06,"""[+] Ready for STEP 6:""",2,36,STEP_06/STEP_06_cell_002_original_036.py
STEP_06,# STEP 6 — SPATIAL LINDBLAD NEURAL OPERATOR,3,37,STEP_06/STEP_06_cell_003_original_037.py
STEP_07,# STEP 7 — DATASET V3,1,38,STEP_07/STEP_07_cell_001_original_038.py
STEP_08,# STEP 8 — DATASET V3 TRAINING-READINESS / TARGET AUDIT,1,39,STEP_08/STEP_08_cell_001_original_039.py
STEP_09,# STEP 9 — TRAJECTORY-AWARE TRAIN / VAL / TEST SPLIT,1,40,STEP_09/STEP_09_cell_001_original_040.py
STEP_10,# STEP 10 — FNO BASELINE PROTOTYPE TRAINING,1,41,STEP_10/STEP_10_cell_001_original_041.py
STEP_11,# STEP 11 — LNO PROTOTYPE TRAINING,1,42,STEP_11/STEP_11_cell_001_original_042.py
STEP_12,# STEP 12 — TRAINING BEHAVIOR / ABLATION DIAGNOSTIC,1,43,STEP_12/STEP_12_cell_001_original_043.py
STEP_13,# STEP 13 — LNO DYNAMICAL COUPLING CALIBRATION,1,44,STEP_13/STEP_13_cell_001_original_044.py
STEP_11,# RECOVER STEP-11 LNO CHECKPOINT FROM GITHUB,2,45,STEP_11/STEP_11_cell_002_original_045.py
STEP_11,# RECOVER STEP-11 LNO CHECKPOINT FROM GITHUB,3,46,STEP_11/STEP_11_cell_003_original_046.py
STEP_11,# RECOVER STEP-11 LNO CHECKPOINT FROM GITHUB,4,47,STEP_11/STEP_11_cell_004_original_047.py
STEP_14,# STEP 14 — REPAIRED LNO DYNAMICAL PARAMETERIZATION,1,48,STEP_14/STEP_14_cell_001_original_048.py
STEP_14,# STEP 14 — REPAIRED LNO DYNAMICAL PARAMETERIZATION,2,49,STEP_14/STEP_14_cell_002_original_049.py
STEP_14,# STEP 14 — REPAIRED LNO DYNAMICAL PARAMETERIZATION,3,50,STEP_14/STEP_14_cell_003_original_050.py
STEP_14,# STEP 14 — REPAIRED LNO DYNAMICAL PARAMETERIZATION,4,51,STEP_14/STEP_14_cell_004_original_051.py
STEP_16,# STEP 16 — FINAL TRAJECTORY-LEVEL TRAIN / VAL / TEST SPLIT,2,52,STEP_16/STEP_16_cell_002_original_052.py
STEP_17,# STEP 17 — FINAL FNO TRAINING,2,53,STEP_17/STEP_17_cell_002_original_053.py
STEP_17,# STEP 17 — FINAL FNO TRAINING,3,54,STEP_17/STEP_17_cell_003_original_054.py
STEP_12,# PROJECT ARTIFACT INVENTORY — STEP 12 ONWARD,2,55,STEP_12/STEP_12_cell_002_original_055.py
STEP_18,# FINAL PROJECT FILE CHECK — BEFORE STEP 18,2,56,STEP_18/STEP_18_cell_002_original_056.py
STEP_18,# STEP 18 — FINAL REPAIRED LNO TRAINING,3,57,STEP_18/STEP_18_cell_003_original_057.py
STEP_18,# STEP 18 — FINAL REPAIRED LNO TRAINING,4,58,STEP_18/STEP_18_cell_004_original_058.py
STEP_19,# STEP 19 — FINAL FNO vs LNO COMPARISON,2,59,STEP_19/STEP_19_cell_002_original_059.py
STEP_17,# RECOVER STEP 17 FNO TEST PREDICTIONS,4,60,STEP_17/STEP_17_cell_004_original_060.py
STEP_18,# Uses ONLY already-generated Step-18 artifacts.,5,61,STEP_18/STEP_18_cell_005_original_061.py
STEP_18,#   Step 18 Final Repaired LNO artifacts,6,62,STEP_18/STEP_18_cell_006_original_062.py
STEP_18,#   Step 18 Final Repaired LNO artifacts,7,63,STEP_18/STEP_18_cell_007_original_063.py
STEP_20,# STEP 20 — OOD SIGMA SWEEP,2,64,STEP_20/STEP_20_cell_002_original_064.py
STEP_20,# STEP 20 — SAVE COMPLETE OOD SIGMA OUTPUT,3,65,STEP_20/STEP_20_cell_003_original_065.py
STEP_21,"print(""✅ Ready to proceed to Step 21."")",2,66,STEP_21/STEP_21_cell_002_original_066.py
STEP_21,"print(""✅ Ready to proceed to Step 21."")",3,67,STEP_21/STEP_21_cell_003_original_067.py
STEP_21,# STEP 21 — COLLAPSE STRESS TEST,4,68,STEP_21/STEP_21_cell_004_original_068.py
STEP_21,# SAVE / PACKAGE STEP 21 — COMPLETE RESULTS,5,69,STEP_21/STEP_21_cell_005_original_069.py
STEP_22,# STEP 22 — LONG-HORIZON ROLLOUT STABILITY,3,70,STEP_22/STEP_22_cell_003_original_070.py
STEP_22,# SAVE STEP 22 COMPLETE ARTIFACTS,4,71,STEP_22/STEP_22_cell_004_original_071.py
STEP_23,# STEP 23 — REGIME-WISE LONG-HORIZON ANALYSIS,1,72,STEP_23/STEP_23_cell_001_original_072.py
STEP_23,# SAVE STEP 23 COMPLETE ARTIFACTS,2,73,STEP_23/STEP_23_cell_002_original_073.py
STEP_24,# STEP 24 — ERROR & STABILITY VISUALIZATION,1,74,STEP_24/STEP_24_cell_001_original_074.py
STEP_24,# SAVE STEP 24 COMPLETE ARTIFACTS,2,75,STEP_24/STEP_24_cell_002_original_075.py
STEP_19,# STEP 19 — FINAL FNO vs FINAL REPAIRED LNO COMPARISON,3,76,STEP_19/STEP_19_cell_003_original_076.py
STEP_19,# STEP 19 — SAVE + PACKAGE COMPLETE RESULTS,4,77,STEP_19/STEP_19_cell_004_original_077.py
STEP_25,# STEP 25 — FINAL COMPARATIVE EVIDENCE CONSOLIDATION,1,78,STEP_25/STEP_25_cell_001_original_078.py
STEP_25,# STEP 25 — SAVE + PACKAGE COMPLETE COMPARATIVE EVIDENCE,2,79,STEP_25/STEP_25_cell_002_original_079.py
STEP_26,# PRE-STEP 26 — FINAL ENVIRONMENT / ARTIFACT VERIFICATION,1,80,STEP_26/STEP_26_cell_001_original_080.py
STEP_26,# STEP 26 — R ACCURACY IMPROVEMENT ABLATION,2,81,STEP_26/STEP_26_cell_002_original_081.py
STEP_26,# STEP 26 — SAVE + PACKAGE COMPLETE R-ACCURACY ABLATION,3,82,STEP_26/STEP_26_cell_003_original_082.py
STEP_27,# STEP 27 — INDEPENDENT VALIDATION OF STEP-26 C-LNO,1,83,STEP_27/STEP_27_cell_001_original_083.py
STEP_27,# STEP 27 — SAVE + PACKAGE COMPLETE C-LNO VALIDATION,2,84,STEP_27/STEP_27_cell_002_original_084.py
STEP_28,# STEP 28 — C-LNO LONG-HORIZON + REGIME STABILITY VALIDATION,1,85,STEP_28/STEP_28_cell_001_original_085.py
STEP_28,# STEP 28 — SAVE + PACKAGE COMPLETE C-LNO LONG-HORIZON VALIDATION,2,86,STEP_28/STEP_28_cell_002_original_086.py
STEP_29,# STEP 29 — FINAL C-LNO COMPREHENSIVE EVALUATION,1,87,STEP_29/STEP_29_cell_001_original_087.py
STEP_29,# STEP 29 — SAVE + PACKAGE COMPLETE FINAL C-LNO EVALUATION,2,88,STEP_29/STEP_29_cell_002_original_088.py
STEP_30,# STEP 30 — FINAL IEEE / JOURNAL-QUALITY VISUALIZATION PACKAGE,1,89,STEP_30/STEP_30_cell_001_original_089.py
STEP_31,# STEP 31 — FINAL PUBLICATION PACKAGE AUDIT,1,90,STEP_31/STEP_31_cell_001_original_090.py
STEP_31,# STEP 31 — CORRECTED FINAL PUBLICATION PACKAGE AUDIT,2,91,STEP_31/STEP_31_cell_002_original_091.py
STEP_31,# STEP 31 — CORRECTED FINAL PUBLICATION PACKAGE AUDIT,3,92,STEP_31/STEP_31_cell_003_original_092.py
STEP_31,# STEP 31 — CORRECTED FINAL PUBLICATION PACKAGE AUDIT,4,93,STEP_31/STEP_31_cell_004_original_093.py
STEP_26,# Step 26 C-LNO checkpoint from the validated R-focused + soft-physics ablation.,4,94,STEP_26/STEP_26_cell_004_original_094.py
STEP_26,# Step 26 C-LNO checkpoint from the validated R-focused + soft-physics ablation.,5,95,STEP_26/STEP_26_cell_005_original_095.py
STEP_26,# Step 26 C-LNO checkpoint from the validated R-focused + soft-physics ablation.,6,96,STEP_26/STEP_26_cell_006_original_096.py
STEP_26,# Step 26 C-LNO checkpoint from the validated R-focused + soft-physics ablation.,7,97,STEP_26/STEP_26_cell_007_original_097.py
