dataset_index,regime,timestep,split,gamma,noise_sigma
353,collapse,56,train,0.5,0.65
354,collapse,57,train,0.5,0.65
355,collapse,58,train,0.5,0.65
356,collapse,59,validation,0.5,0.65
357,collapse,60,validation,0.5,0.65
358,collapse,61,validation,0.5,0.65
359,collapse,62,validation,0.5,0.65
360,collapse,63,validation,0.5,0.65
361,collapse,64,validation,0.5,0.65
362,collapse,65,validation,0.5,0.65
363,collapse,66,validation,0.5,0.65
364,collapse,67,validation,0.5,0.65
365,collapse,68,validation,0.5,0.65
366,collapse,69,validation,0.5,0.65
367,collapse,70,validation,0.5,0.65
368,collapse,71,validation,0.5,0.65
369,collapse,72,validation,0.5,0.65
370,collapse,73,validation,0.5,0.65
371,collapse,74,validation,0.5,0.65
372,collapse,75,validation,0.5,0.65
373,collapse,76,validation,0.5,0.65
374,collapse,77,validation,0.5,0.65
375,collapse,78,test,0.5,0.65
376,collapse,79,test,0.5,0.65
377,collapse,80,test,0.5,0.65
378,collapse,81,test,0.5,0.65
379,collapse,82,test,0.5,0.65
380,collapse,83,test,0.5,0.65
381,collapse,84,test,0.5,0.65
382,collapse,85,test,0.5,0.65
383,collapse,86,test,0.5,0.65
384,collapse,87,test,0.5,0.65
385,collapse,88,test,0.5,0.65
386,collapse,89,test,0.5,0.65
387,collapse,90,test,0.5,0.65
388,collapse,91,test,0.5,0.65
389,collapse,92,test,0.5,0.65
390,collapse,93,test,0.5,0.65
391,collapse,94,test,0.5,0.65
392,collapse,95,test,0.5,0.65
393,collapse,96,test,0.5,0.65
394,collapse,97,test,0.5,0.65
395,collapse,98,test,0.5,0.65
198,heavy_dissipation,0,train,0.35,0.15
199,heavy_dissipation,1,train,0.35,0.15
200,heavy_dissipation,2,train,0.35,0.15
201,heavy_dissipation,3,train,0.35,0.15
202,heavy_dissipation,4,train,0.35,0.15
203,heavy_dissipation,5,train,0.35,0.15
204,heavy_dissipation,6,train,0.35,0.15
205,heavy_dissipation,7,train,0.35,0.15
206,heavy_dissipation,8,train,0.35,0.15
207,heavy_dissipation,9,train,0.35,0.15
208,heavy_dissipation,10,train,0.35,0.15
209,heavy_dissipation,11,train,0.35,0.15
210,heavy_dissipation,12,train,0.35,0.15
211,heavy_dissipation,13,train,0.35,0.15
212,heavy_dissipation,14,train,0.35,0.15
213,heavy_dissipation,15,train,0.35,0.15
214,heavy_dissipation,16,train,0.35,0.15
215,heavy_dissipation,17,train,0.35,0.15
216,heavy_dissipation,18,train,0.35,0.15
217,heavy_dissipation,19,train,0.35,0.15
218,heavy_dissipation,20,train,0.35,0.15
219,heavy_dissipation,21,train,0.35,0.15
220,heavy_dissipation,22,train,0.35,0.15
221,heavy_dissipation,23,train,0.35,0.15
222,heavy_dissipation,24,train,0.35,0.15
223,heavy_dissipation,25,train,0.35,0.15
224,heavy_dissipation,26,train,0.35,0.15
225,heavy_dissipation,27,train,0.35,0.15
226,heavy_dissipation,28,train,0.35,0.15
227,heavy_dissipation,29,train,0.35,0.15
228,heavy_dissipation,30,train,0.35,0.15
229,heavy_dissipation,31,train,0.35,0.15
230,heavy_dissipation,32,train,0.35,0.15
231,heavy_dissipation,33,train,0.35,0.15
232,heavy_dissipation,34,train,0.35,0.15
233,heavy_dissipation,35,train,0.35,0.15
234,heavy_dissipation,36,train,0.35,0.15
235,heavy_dissipation,37,train,0.35,0.15
236,heavy_dissipation,38,train,0.35,0.15
237,heavy_dissipation,39,train,0.35,0.15
238,heavy_dissipation,40,train,0.35,0.15
239,heavy_dissipation,41,train,0.35,0.15
240,heavy_dissipation,42,train,0.35,0.15
241,heavy_dissipation,43,train,0.35,0.15
242,heavy_dissipation,44,train,0.35,0.15
243,heavy_dissipation,45,train,0.35,0.15
244,heavy_dissipation,46,train,0.35,0.15
245,heavy_dissipation,47,train,0.35,0.15
246,heavy_dissipation,48,train,0.35,0.15
247,heavy_dissipation,49,train,0.35,0.15
248,heavy_dissipation,50,train,0.35,0.15
249,heavy_dissipation,51,train,0.35,0.15
250,heavy_dissipation,52,train,0.35,0.15
251,heavy_dissipation,53,train,0.35,0.15
252,heavy_dissipation,54,train,0.35,0.15
253,heavy_dissipation,55,train,0.35,0.15
254,heavy_dissipation,56,train,0.35,0.15
255,heavy_dissipation,57,train,0.35,0.15
256,heavy_dissipation,58,train,0.35,0.15
257,heavy_dissipation,59,validation,0.35,0.15
258,heavy_dissipation,60,validation,0.35,0.15
259,heavy_dissipation,61,validation,0.35,0.15
260,heavy_dissipation,62,validation,0.35,0.15
261,heavy_dissipation,63,validation,0.35,0.15
262,heavy_dissipation,64,validation,0.35,0.15
263,heavy_dissipation,65,validation,0.35,0.15
264,heavy_dissipation,66,validation,0.35,0.15
265,heavy_dissipation,67,validation,0.35,0.15
266,heavy_dissipation,68,validation,0.35,0.15
267,heavy_dissipation,69,validation,0.35,0.15
268,heavy_dissipation,70,validation,0.35,0.15
269,heavy_dissipation,71,validation,0.35,0.15
270,heavy_dissipation,72,validation,0.35,0.15
271,heavy_dissipation,73,validation,0.35,0.15
272,heavy_dissipation,74,validation,0.35,0.15
273,heavy_dissipation,75,validation,0.35,0.15
274,heavy_dissipation,76,validation,0.35,0.15
275,heavy_dissipation,77,validation,0.35,0.15
276,heavy_dissipation,78,test,0.35,0.15
277,heavy_dissipation,79,test,0.35,0.15
278,heavy_dissipation,80,test,0.35,0.15
279,heavy_dissipation,81,test,0.35,0.15
280,heavy_dissipation,82,test,0.35,0.15
281,heavy_dissipation,83,test,0.35,0.15
282,heavy_dissipation,84,test,0.35,0.15
283,heavy_dissipation,85,test,0.35,0.15
284,heavy_dissipation,86,test,0.35,0.15
285,heavy_dissipation,87,test,0.35,0.15
286,heavy_dissipation,88,test,0.35,0.15
287,heavy_dissipation,89,test,0.35,0.15
288,heavy_dissipation,90,test,0.35,0.15
289,heavy_dissipation,91,test,0.35,0.15
290,heavy_dissipation,92,test,0.35,0.15
291,heavy_dissipation,93,test,0.35,0.15
292,heavy_dissipation,94,test,0.35,0.15
293,heavy_dissipation,95,test,0.35,0.15
294,heavy_dissipation,96,test,0.35,0.15
295,heavy_dissipation,97,test,0.35,0.15
296,heavy_dissipation,98,test,0.35,0.15
0,low_noise,0,train,0.01,0.02
1,low_noise,1,train,0.01,0.02
2,low_noise,2,train,0.01,0.02
3,low_noise,3,train,0.01,0.02
4,low_noise,4,train,0.01,0.02
5,low_noise,5,train,0.01,0.02
6,low_noise,6,train,0.01,0.02
7,low_noise,7,train,0.01,0.02
8,low_noise,8,train,0.01,0.02
9,low_noise,9,train,0.01,0.02
10,low_noise,10,train,0.01,0.02
11,low_noise,11,train,0.01,0.02
12,low_noise,12,train,0.01,0.02
13,low_noise,13,train,0.01,0.02
14,low_noise,14,train,0.01,0.02
15,low_noise,15,train,0.01,0.02
16,low_noise,16,train,0.01,0.02
17,low_noise,17,train,0.01,0.02
18,low_noise,18,train,0.01,0.02
19,low_noise,19,train,0.01,0.02
20,low_noise,20,train,0.01,0.02
21,low_noise,21,train,0.01,0.02
22,low_noise,22,train,0.01,0.02
23,low_noise,23,train,0.01,0.02
24,low_noise,24,train,0.01,0.02
25,low_noise,25,train,0.01,0.02
26,low_noise,26,train,0.01,0.02
27,low_noise,27,train,0.01,0.02
28,low_noise,28,train,0.01,0.02
29,low_noise,29,train,0.01,0.02
30,low_noise,30,train,0.01,0.02
31,low_noise,31,train,0.01,0.02
32,low_noise,32,train,0.01,0.02
33,low_noise,33,train,0.01,0.02
34,low_noise,34,train,0.01,0.02
35,low_noise,35,train,0.01,0.02
36,low_noise,36,train,0.01,0.02
37,low_noise,37,train,0.01,0.02
38,low_noise,38,train,0.01,0.02
39,low_noise,39,train,0.01,0.02
40,low_noise,40,train,0.01,0.02
41,low_noise,41,train,0.01,0.02
42,low_noise,42,train,0.01,0.02
43,low_noise,43,train,0.01,0.02
44,low_noise,44,train,0.01,0.02
45,low_noise,45,train,0.01,0.02
46,low_noise,46,train,0.01,0.02
47,low_noise,47,train,0.01,0.02
48,low_noise,48,train,0.01,0.02
49,low_noise,49,train,0.01,0.02
50,low_noise,50,train,0.01,0.02
51,low_noise,51,train,0.01,0.02
52,low_noise,52,train,0.01,0.02
53,low_noise,53,train,0.01,0.02
54,low_noise,54,train,0.01,0.02
55,low_noise,55,train,0.01,0.02
56,low_noise,56,train,0.01,0.02
57,low_noise,57,train,0.01,0.02
58,low_noise,58,train,0.01,0.02
59,low_noise,59,validation,0.01,0.02
60,low_noise,60,validation,0.01,0.02
61,low_noise,61,validation,0.01,0.02
62,low_noise,62,validation,0.01,0.02
63,low_noise,63,validation,0.01,0.02
64,low_noise,64,validation,0.01,0.02
65,low_noise,65,validation,0.01,0.02
66,low_noise,66,validation,0.01,0.02
67,low_noise,67,validation,0.01,0.02
68,low_noise,68,validation,0.01,0.02
69,low_noise,69,validation,0.01,0.02
70,low_noise,70,validation,0.01,0.02
71,low_noise,71,validation,0.01,0.02
72,low_noise,72,validation,0.01,0.02
73,low_noise,73,validation,0.01,0.02
74,low_noise,74,validation,0.01,0.02
75,low_noise,75,validation,0.01,0.02
76,low_noise,76,validation,0.01,0.02
77,low_noise,77,validation,0.01,0.02
78,low_noise,78,test,0.01,0.02
79,low_noise,79,test,0.01,0.02
80,low_noise,80,test,0.01,0.02
81,low_noise,81,test,0.01,0.02
82,low_noise,82,test,0.01,0.02
83,low_noise,83,test,0.01,0.02
84,low_noise,84,test,0.01,0.02
85,low_noise,85,test,0.01,0.02
86,low_noise,86,test,0.01,0.02
87,low_noise,87,test,0.01,0.02
88,low_noise,88,test,0.01,0.02
89,low_noise,89,test,0.01,0.02
90,low_noise,90,test,0.01,0.02
91,low_noise,91,test,0.01,0.02
92,low_noise,92,test,0.01,0.02
93,low_noise,93,test,0.01,0.02
94,low_noise,94,test,0.01,0.02
95,low_noise,95,test,0.01,0.02
96,low_noise,96,test,0.01,0.02
97,low_noise,97,test,0.01,0.02
98,low_noise,98,test,0.01,0.02
396,metastable,0,train,0.15,0.3
397,metastable,1,train,0.15,0.3
398,metastable,2,train,0.15,0.3
399,metastable,3,train,0.15,0.3
400,metastable,4,train,0.15,0.3
401,metastable,5,train,0.15,0.3
402,metastable,6,train,0.15,0.3
403,metastable,7,train,0.15,0.3
404,metastable,8,train,0.15,0.3
405,metastable,9,train,0.15,0.3
406,metastable,10,train,0.15,0.3
407,metastable,11,train,0.15,0.3
408,metastable,12,train,0.15,0.3
409,metastable,13,train,0.15,0.3
410,metastable,14,train,0.15,0.3
411,metastable,15,train,0.15,0.3
412,metastable,16,train,0.15,0.3
413,metastable,17,train,0.15,0.3
414,metastable,18,train,0.15,0.3
415,metastable,19,train,0.15,0.3
416,metastable,20,train,0.15,0.3
417,metastable,21,train,0.15,0.3
418,metastable,22,train,0.15,0.3
419,metastable,23,train,0.15,0.3
420,metastable,24,train,0.15,0.3
421,metastable,25,train,0.15,0.3
422,metastable,26,train,0.15,0.3
423,metastable,27,train,0.15,0.3
424,metastable,28,train,0.15,0.3
425,metastable,29,train,0.15,0.3
426,metastable,30,train,0.15,0.3
427,metastable,31,train,0.15,0.3
428,metastable,32,train,0.15,0.3
429,metastable,33,train,0.15,0.3
430,metastable,34,train,0.15,0.3
431,metastable,35,train,0.15,0.3
432,metastable,36,train,0.15,0.3
433,metastable,37,train,0.15,0.3
434,metastable,38,train,0.15,0.3
435,metastable,39,train,0.15,0.3
436,metastable,40,train,0.15,0.3
437,metastable,41,train,0.15,0.3
438,metastable,42,train,0.15,0.3
439,metastable,43,train,0.15,0.3
440,metastable,44,train,0.15,0.3
441,metastable,45,train,0.15,0.3
442,metastable,46,train,0.15,0.3
443,metastable,47,train,0.15,0.3
444,metastable,48,train,0.15,0.3
445,metastable,49,train,0.15,0.3
446,metastable,50,train,0.15,0.3
447,metastable,51,train,0.15,0.3
448,metastable,52,train,0.15,0.3
449,metastable,53,train,0.15,0.3
450,metastable,54,train,0.15,0.3
451,metastable,55,train,0.15,0.3
452,metastable,56,train,0.15,0.3
453,metastable,57,train,0.15,0.3
454,metastable,58,train,0.15,0.3
455,metastable,59,validation,0.15,0.3
456,metastable,60,validation,0.15,0.3
457,metastable,61,validation,0.15,0.3
458,metastable,62,validation,0.15,0.3
459,metastable,63,validation,0.15,0.3
460,metastable,64,validation,0.15,0.3
461,metastable,65,validation,0.15,0.3
462,metastable,66,validation,0.15,0.3
463,metastable,67,validation,0.15,0.3
464,metastable,68,validation,0.15,0.3
465,metastable,69,validation,0.15,0.3
466,metastable,70,validation,0.15,0.3
467,metastable,71,validation,0.15,0.3
468,metastable,72,validation,0.15,0.3
469,metastable,73,validation,0.15,0.3
470,metastable,74,validation,0.15,0.3
471,metastable,75,validation,0.15,0.3
472,metastable,76,validation,0.15,0.3
473,metastable,77,validation,0.15,0.3
474,metastable,78,test,0.15,0.3
475,metastable,79,test,0.15,0.3
476,metastable,80,test,0.15,0.3
477,metastable,81,test,0.15,0.3
478,metastable,82,test,0.15,0.3
479,metastable,83,test,0.15,0.3
480,metastable,84,test,0.15,0.3
481,metastable,85,test,0.15,0.3
482,metastable,86,test,0.15,0.3
483,metastable,87,test,0.15,0.3
484,metastable,88,test,0.15,0.3
485,metastable,89,test,0.15,0.3
486,metastable,90,test,0.15,0.3
487,metastable,91,test,0.15,0.3
488,metastable,92,test,0.15,0.3
489,metastable,93,test,0.15,0.3
490,metastable,94,test,0.15,0.3
491,metastable,95,test,0.15,0.3
492,metastable,96,test,0.15,0.3
493,metastable,97,test,0.15,0.3
494,metastable,98,test,0.15,0.3
99,stochastic,0,train,0.05,0.45
100,stochastic,1,train,0.05,0.45
101,stochastic,2,train,0.05,0.45
102,stochastic,3,train,0.05,0.45
103,stochastic,4,train,0.05,0.45
104,stochastic,5,train,0.05,0.45
105,stochastic,6,train,0.05,0.45
106,stochastic,7,train,0.05,0.45
107,stochastic,8,train,0.05,0.45
108,stochastic,9,train,0.05,0.45
109,stochastic,10,train,0.05,0.45
110,stochastic,11,train,0.05,0.45
111,stochastic,12,train,0.05,0.45
112,stochastic,13,train,0.05,0.45
113,stochastic,14,train,0.05,0.45
114,stochastic,15,train,0.05,0.45
115,stochastic,16,train,0.05,0.45
116,stochastic,17,train,0.05,0.45
117,stochastic,18,train,0.05,0.45
118,stochastic,19,train,0.05,0.45
119,stochastic,20,train,0.05,0.45
120,stochastic,21,train,0.05,0.45
121,stochastic,22,train,0.05,0.45
122,stochastic,23,train,0.05,0.45
123,stochastic,24,train,0.05,0.45
124,stochastic,25,train,0.05,0.45
125,stochastic,26,train,0.05,0.45
126,stochastic,27,train,0.05,0.45
127,stochastic,28,train,0.05,0.45
128,stochastic,29,train,0.05,0.45
129,stochastic,30,train,0.05,0.45
130,stochastic,31,train,0.05,0.45
131,stochastic,32,train,0.05,0.45
132,stochastic,33,train,0.05,0.45
133,stochastic,34,train,0.05,0.45
134,stochastic,35,train,0.05,0.45
135,stochastic,36,train,0.05,0.45
136,stochastic,37,train,0.05,0.45
137,stochastic,38,train,0.05,0.45
138,stochastic,39,train,0.05,0.45
139,stochastic,40,train,0.05,0.45
140,stochastic,41,train,0.05,0.45
141,stochastic,42,train,0.05,0.45
142,stochastic,43,train,0.05,0.45
143,stochastic,44,train,0.05,0.45
144,stochastic,45,train,0.05,0.45
145,stochastic,46,train,0.05,0.45
146,stochastic,47,train,0.05,0.45
147,stochastic,48,train,0.05,0.45
148,stochastic,49,train,0.05,0.45
149,stochastic,50,train,0.05,0.45
150,stochastic,51,train,0.05,0.45
151,stochastic,52,train,0.05,0.45
152,stochastic,53,train,0.05,0.45
153,stochastic,54,train,0.05,0.45
154,stochastic,55,train,0.05,0.45
155,stochastic,56,train,0.05,0.45
156,stochastic,57,train,0.05,0.45
157,stochastic,58,train,0.05,0.45
158,stochastic,59,validation,0.05,0.45
159,stochastic,60,validation,0.05,0.45
160,stochastic,61,validation,0.05,0.45
161,stochastic,62,validation,0.05,0.45
162,stochastic,63,validation,0.05,0.45
163,stochastic,64,validation,0.05,0.45
164,stochastic,65,validation,0.05,0.45
165,stochastic,66,validation,0.05,0.45
166,stochastic,67,validation,0.05,0.45
167,stochastic,68,validation,0.05,0.45
168,stochastic,69,validation,0.05,0.45
169,stochastic,70,validation,0.05,0.45
170,stochastic,71,validation,0.05,0.45
171,stochastic,72,validation,0.05,0.45
172,stochastic,73,validation,0.05,0.45
173,stochastic,74,validation,0.05,0.45
174,stochastic,75,validation,0.05,0.45
175,stochastic,76,validation,0.05,0.45
176,stochastic,77,validation,0.05,0.45
177,stochastic,78,test,0.05,0.45
178,stochastic,79,test,0.05,0.45
179,stochastic,80,test,0.05,0.45
180,stochastic,81,test,0.05,0.45
181,stochastic,82,test,0.05,0.45
182,stochastic,83,test,0.05,0.45
183,stochastic,84,test,0.05,0.45
184,stochastic,85,test,0.05,0.45
185,stochastic,86,test,0.05,0.45
186,stochastic,87,test,0.05,0.45
187,stochastic,88,test,0.05,0.45
188,stochastic,89,test,0.05,0.45
189,stochastic,90,test,0.05,0.45
190,stochastic,91,test,0.05,0.45
191,stochastic,92,test,0.05,0.45
192,stochastic,93,test,0.05,0.45
193,stochastic,94,test,0.05,0.45
194,stochastic,95,test,0.05,0.45
195,stochastic,96,test,0.05,0.45
196,stochastic,97,test,0.05,0.45
197,stochastic,98,test,0.05,0.45
